form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,source,page,language_id
kommoirangmantak073,mu,3.sg.2.pl.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak074,mu,3.pl.2.sg.fut.aff,na-mu-in-te,na-Σ-in-te,na+Σ+in+te,n a Σ i n t e,n a + Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak075,mu,3.pl.2.sg.fut.aff,in-na-mu-sik-ni,in-na-Σ-sik-ni,in+na+Σ+sik+ni,i n n a Σ s i k n i,i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak076,mu,3.pl.2.pl.fut.aff,na-mu-in-te,na-Σ-in-te,na+Σ+in+te,n a Σ i n t e,n a + Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak077,mu,3.pl.2.pl.fut.aff,in-na-mu-sik-ni,in-na-Σ-sik-ni,in+na+Σ+sik+ni,i n n a Σ s i k n i,i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak078,mu,3.sg.3.sg.fut.aff,mu-te,Σ-te,Σ+te,Σ t e,Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak079,mu,3.sg.3.sg.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak080,mu,3.sg.3.pl.fut.aff,mu-te,Σ-te,Σ+te,Σ t e,Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak081,mu,3.sg.3.pl.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak082,mu,3.pl.3.sg.fut.aff,mu-in-te,Σ-in-te,Σ+in+te,Σ i n t e,Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
